noun,modifier,Verb,sentence2,label,sentence1,idx
Bulb,Energy-efficient,Lasts,An energy-efficient bulb lasts longer.,4,,
Switch,Easy-to-use,Turns,An easy-to-use switch turns on the lights.,4,,
Air conditioner,Efficient,Cools,An efficient air conditioner cools the room.,4,,
Heater,Effective,Warms,An effective heater warms up the space.,4,,
Vacuum cleaner,Powerful,Cleans,A powerful vacuum cleaner cleans thoroughly.,4,,
Sink,Deep,Holds,A deep sink holds plenty of water.,4,,
Toilet,Modern,Flushes,A modern toilet flushes efficiently.,4,,
Door,Solid,Opens,A solid door opens with ease.,4,,
Roof,Strong,Protects,A strong roof protects from the elements.,4,,
Chair,Comfortable,Supports,A comfortable chair supports your back.,4,,
Table,Sturdy,Holds,A sturdy table holds heavy objects.,4,,
Bed,Soft,Sleeps,A soft bed sleeps soundly.,4,,
Pillow,Fluffy,Cradles,A fluffy pillow cradles your head.,4,,
Blanket,Warm,Keep,A warm blanket keeps you cozy.,4,,
Sheet,Soft,Feels,Soft sheets feel luxurious.,4,,
Fork,Sharp,Pierces,A sharp fork pierces meat.,4,,
Knife,Serrated,Slices,A serrated knife slices bread.,4,,
Pan,Non-stick,Cooks,A non-stick pan cooks food evenly.,4,,
Pot,Large,Boils,A large pot boils water quickly.,4,,
Kettle,Electric,Whistles,An electric kettle whistles when it's ready.,4,,
Coffee maker,Automatic,Brews,An automatic coffee maker brews coffee with ease.,4,,
Toaster,Compact, Toasts,A compact toaster toasts bread perfectly.,4,,
Blender,Powerful,Blends,A powerful blender blends smoothies quickly.,4,,
Stand mixer,Heavy-duty,Mixes,A heavy-duty stand mixer mixes dough effortlessly.,4,,
Slow cooker,Programmable,Cooks,A programmable slow cooker cooks meals slowly.,4,,
Oven,Convection,Bakes,A convection oven bakes cookies evenly.,4,,
Dishwasher,Energy-efficient,Cleans,An energy-efficient dishwasher cleans dishes quietly.,4,,
Refrigerator,Sprawling,Cools,A sprawling refrigerator cools drinks effectively.,4,,
Freezer,Compact,Freezes,A compact freezer freezes food safely.,4,,
Washing machine,High-capacity,Washes,A high-capacity washing machine washes clothes efficiently.,4,,
Iron,Steam,Irons,A steam iron irons clothes wrinkle-free.,4,,
Vacuum cleaner,Lightweight,Clean,A lightweight vacuum cleaner cleans floors easily.,4,,
Mop,Adjustable,Cleans,An adjustable mop cleans corners precisely.,4,,
Broom,Durable,Sweeps,A durable broom sweeps floors clean.,4,,
Dustpan,Sturdy,Picks,A sturdy dustpan picks up debris.,4,,
Air freshener,Fragrant,Freshens,A fragrant air freshener freshenes the air.,4,,
Toilet brush,Long-handled,Scrubs,A long-handled toilet brush scrubs the bowl clean.,4,,
Toilet plunger,Powerful,Unclogs,A powerful toilet plunger unclogs drains easily.,4,,
Bath mat,Soft,Cushions,A soft bath mat cushions your feet.,4,,
Shower curtain, Waterproof ,Prevents,A waterproof shower curtain prevents water from leaking onto the floor.,4,,
Showerhead,Multiple settings, Massages,A multiple-setting showerhead massages your scalp and body.,4,,
Towels,absorbent,Dry,Absorbent towels dry quickly.,4,,
Toilet paper,Quilted,Softens,Quilted toilet paper softens the texture.,4,,
Shower curtain hooks,Adjustable,Hang,Adjustable shower curtain hooks hang securely.,4,,
Shower rings,Durable,Hold,Durable shower rings hold strongly.,4,,
Shower curtain rod,Tension,Hangs,A tension shower curtain rod hangs steadily.,4,,
Bath rug,Non-slip,Prevents,A non-slip bath rug prevents slipping.,4,,
Shower gel,Moisturizing,Soothes,Moisturizing shower gel soothes skin.,4,,
Body wash,Rich,Cleans,Rich body wash cleans thoroughly.,4,,
Shampoo,Sulfate-free,Lathers,Sulfate-free shampoo lathers nicely.,4,,
Conditioner,Leaves-in,Softens,Leaves-in conditioner softens hair.,4,,
Hair mask,Deep,Nourishes,A deep hair mask nourishes strands.,4,,
Hair oil,Lightweight,Hydrates,Lightweight hair oil hydrates without weighing down.,4,,
Hairbrush,Wide-tooth,Detangles,A wide-tooth hairbrush detangles gently.,4,,
Hair clips,Adjustable,Hold,Adjustable hair clips hold securely.,4,,
Hair tie,Elastic,Stretches,An elastic hair tie stretches to fit.,4,,
Hairspray,Strong-hold,Holds,Strong-hold hairspray holds styles in place.,4,,
Hair serum,Light-reflecting,Shines,Light-reflecting hair serum shines brightly.,4,,
Hat,Wool,Warms,A wool hat warms your head.,4,,
Scarf,Soft,Wraps,A soft scarf wraps cozily around your neck.,4,,
Gloves,Thermal,Keep,Thermal gloves keep your hands warm.,4,,
Coat,Waterproof,Protects,A waterproof coat protects you from the rain.,4,,
Snowboots,Waterproof,Keep,Waterproof snowboots keep your feet dry.,4,,
Socks,Warm,Keep,Warm socks keep your feet cozy.,4,,
Underwear,Breathable,Keeps,Breathable underwear keeps you cool and dry.,4,,
Sleeping bag,Warm,Keeps,A warm sleeping bag keeps you cozy while camping.,4,,
Tent,Waterproof,Protects,A waterproof tent protects you from the elements.,4,,
Backpack,Comfortable,Carries,A comfortable backpack carries your essentials.,4,,
Sunscreen,Water-resistant,Protects,Water-resistant sunscreen protects your skin from the sun's harmful rays.,4,,
Lip balm,Moisturizing,Soothes,"Moisturizing lip balm soothes dry, chapped lips.",4,,
Hiking boots,Durable,Supports,Durable hiking boots support your feet on long hikes.,4,,
Jacket,Breathable,Vents,A breathable jacket vents excess heat.,4,,
Pants,Water-repellent,Resists,Water-repellent pants resist stains.,4,,
Shirt,Quick-drying,Comfortable,A quick-drying shirt stays comfortable in hot weather.,4,,
Shoes,Slip-resistant,Grip,Slip-resistant shoes provide grip on wet surfaces.,4,,
Sunglasses,Polarized,Block,Polarized sunglasses block glare.,4,,
Hat,Adjustable,Fits,An adjustable hat fits comfortably.,4,,
Scarf,Lightweight,Keeps,A lightweight scarf keeps you warm.,4,,
Umbrella,Windproof,Withstands,A windproof umbrella withstands strong gusts.,4,,
Raincoat,Breathable,Vents,A breathable raincoat vents excess heat.,4,,
Boots,Insulated,Keeps,Insulated boots keep your feet warm.,4,,
Gloves,Thermal,Keep,Thermal gloves keep your hands warm.,4,,
Socks,Moisture-wicking,Keep,Moisture-wicking socks keep your feet dry.,4,,
Sports bra,Supportive,Compress,A supportive sports bra compresses your breasts.,4,,
T-shirt,Moisture-wicking,Keep,A moisture-wicking T-shirt keeps you cool.,4,,
Running shorts,Breathable,Vent,Breathable running shorts vent excess heat.,4,,
Sneakers,Cushioned, Absorb,Cushioned sneakers absorb shock.,4,,
Socks,Arch-supporting,Relieve,Arch-supporting socks relieve foot pain.,4,,
Jacket,Water-repellent,Resist,A water-repellent jacket resists stains.,4,,
Pants,Stretchy,Move,Stretchy pants move with you.,4,,
Shirt,Button-down,Casual,A button-down shirt looks casual.,4,,
Tie,Silk,Looks,A silk tie looks elegant.,4,,
Shirt,Crisp,Feels,A crisp shirt feels refreshing.,4,,
Pants,Tailored,Fit,Tailored pants fit perfectly.,4,,
Suit,Custom-made,Fits,A custom-made suit fits flawlessly.,4,,
Shoes,Italian leather,Quality,Italian leather shoes exude quality.,4,,
Belt,Hand-stitched,Durable,A hand-stitched belt is durable.,4,,
Watch, Swiss-made,Keep,A Swiss-made watch keeps perfect time.,4,,
Sunglasses,Polarized,Block,Polarized sunglasses block UV rays.,4,,
Scarf,Cashmere,Soft,A cashmere scarf feels soft against your skin.,4,,
Gloves,Leather,Durable,Leather gloves are durable and long-lasting.,4,,
Boots,Shearling-lined,Warm,Shearling-lined boots keep your feet warm.,4,,
Coat,Trench,Protects,A trench coat protects you from the rain.,4,,
Dress,Flowing,Moves,A flowing dress moves gracefully.,4,,
Sweater,Cable-knit,Warm,A cable-knit sweater keeps you warm.,4,,
Scarf,Silk,Shines,A silk scarf shines elegantly.,4,,
Tie,Wool,Knots,A wool tie knots securely.,4,,
Socks,Cotton,Breathe,Cotton socks breathe comfortably.,4,,
Underwear,Modal,Soft,Modal underwear feels soft against your skin.,4,,
Bras,Lace,Delicate,Lace bras add a touch of delicacy.,4,,
Pants,Fleece,Warm,Fleece pants keep you warm.,4,,
Skirt,Denim,Moves,A denim skirt moves freely.,4,,
Dress,Chiffon,Flows,A chiffon dress flows elegantly.,4,,
Sweater,Cashmere,Soft,A cashmere sweater feels soft.,4,,
Pants,Leather,Tough,Leather pants are tough and durable.,4,,
Jacket,Down-filled,Warm,A down-filled jacket keeps you warm.,4,,
Shoes,Suede,Comfortable,Suede shoes are comfortable.,4,,
Hat,Fur,Warm,A fur hat keeps your head warm.,4,,
Gloves,Thermal,Warm,Thermal gloves keep your hands warm.,4,,
Scarf,Cashmere,Soft,A cashmere scarf feels soft against your skin.,4,,
Hat,Beanie,Warm,A beanie hat keeps your head warm.,4,,
Socks,Wool,Breathe,Wool socks breathe comfortably.,4,,
Underwear,Modal,Soft,Modal underwear feels soft against your skin.,4,,
Bras,Lace,Delicate,Lace bras add a touch of delicacy.,4,,
Pants,Fleece,Warm,Fleece pants keep you warm.,4,,
sleeping,additional,,The effect of additional sleeping is rejuvenation.,3,The effect of sleeping is rejuvenation.,13484.0
toothbrush,regular,,A regular toothbrush is for fresh breath.,2,A toothbrush is for fresh breath.,2620.0
scene,negative,,A negative scene is painted.,2,A scene is painted.,3324.0
bone,alleged,,An alleged bone breaks a tooth.,2,A bone breaks a tooth.,10610.0
trip,fabulous,,A fabulous trip causes a happening.,2,A trip causes a happening.,14917.0
singing,evocative,,Something that might happen as a consequence of evocative singing is you look funny.,1,Something that might happen as a consequence of singing is you look funny.,5134.0
rain,healing,,Healing rain makes you wet.,2,Rain makes you wet.,8779.0
breathing,mindful,,Mindful breathing is for respiration.,2,Breathing is for respiration.,2221.0
rule,overlooked,,You use an overlooked rule to guide you.,2,You use a rule to guide you.,28.0
ranch,main,,A main ranch is found in australia.,2,A ranch is found in australia.,8119.0
year,outstanding,,An outstanding year is made up of 365 days.,2,A year is made up of 365 days.,2825.0
story,erroneous,,An erroneous story has a sentence.,2,A story has a sentence.,10285.0
art,natural,,Natural art is for enjoyment.,3,Art is for enjoyment.,1008.0
one,faulty,,Faulty one relaxes beside a lake.,0,One relaxes beside a lake.,13443.0
work,former,,Sometimes former work causes exhaustion.,1,Sometimes work causes exhaustion.,6706.0
photographer,local,,A local photographer positions the model.,2,A photographer positions the model.,14483.0
people,historic,,Historic people works in teams.,2,People works in teams.,11987.0
album,virtual,,You use a virtual album to reproduce music.,0,You use an album to reproduce music.,7818.0
mankind,fallen,,Fallen mankind is made of humanity.,0,Mankind is made of humanity.,13771.0
home,hot,,A hot home is for a family.,1,A home is for a family.,8797.0
lobby,foreign,,You use a foreign lobby to have a drink.,2,You use a lobby to have a drink.,9012.0
rumor,false,,That false rumor spreads and spread.,3,That rumor spreads and spread.,13713.0
carpet,rear,,A rear carpet is used for saving the floor.,2,A carpet is used for saving the floor.,2349.0
bottle,good,,A good bottle is for pouring liquid from.,2,A bottle is for pouring liquid from.,9750.0
crane,internal,,An internal crane lifts a heavy weight.,2,A crane lifts a heavy weight.,5481.0
stage,potential,,A potential stage is used for putting on shows.,2,A stage is used for putting on shows.,11191.0
cycling,everyday,,Everyday cycling is more efficient than driving.,3,Cycling is more efficient than driving.,14901.0
platform,substantial,,A substantial platform is for drilling oil in the ocean.,2,A platform is for drilling oil in the ocean.,476.0
cup,artificial,,An artificial cup is used to hold coffee.,2,A cup is used to hold coffee.,6553.0
library,old,,An old library is for organizing knowlege.,2,A library is for organizing knowlege.,14605.0
dancing,virtuoso,,Virtuoso dancing is for fun.,1,Dancing is for fun.,14862.0
bell,single,,A single bell is used for calling.,2,A bell is used for calling.,10638.0
temple,alleged,,An alleged temple is for religious ceremonies.,2,A temple is for religious ceremonies.,8761.0
mom,suburban,,A suburban mom mothers a child.,2,A mom mothers a child.,14221.0
candle,electronic,,An electronic candle lights a room.,2,A candle lights a room.,2369.0
psychiatrist,lousy,,A lousy psychiatrist listens to a neurotic person's fears.,2,A psychiatrist listens to a neurotic person's fears.,1040.0
pain,phantom,,You use a phantom pain to hurt.,1,You use a pain to hurt.,15535.0
athlete,former,,A former athlete runs fast.,2,An athlete runs fast.,15556.0
disease,venous,,A venous disease is for making people sick.,2,A disease is for making people sick.,2703.0
tourist,happy,,A happy tourist travels to foreign countries.,3,A tourist travels to foreign countries.,4578.0
fortune,attributable,,You use an attributable fortune to stop working for a living.,2,You use a fortune to stop working for a living.,426.0
tennis,dead,,Some dead tennis is played on red clay.,0,Some tennis is played on red clay.,10373.0
wind,so-called,,So-called wind separates chaff from wheat seeds.,1,Wind separates chaff from wheat seeds.,538.0
sun,physical,,The physical sun is made of gases.,2,The sun is made of gases.,4595.0
ball,imaginary,,An imaginary ball is played with.,1,A ball is played with.,6789.0
expert,financial,,A financial expert teaches what they know.,2,An expert teaches what they know.,8699.0
surgeon,fictional,,A fictional surgeon holds a scalpal.,0,A surgeon holds a scalpal.,15754.0
place,likely,,A likely place is used for an event.,2,A place is used for an event.,11530.0
china,solid,,Solid china has a lot of people.,0,China has a lot of people.,12068.0
clown,absolute,,An absolute clown acts silly.,2,A clown acts silly.,14569.0
freeway,westbound,,A westbound freeway is similar to a highway.,2,A freeway is similar to a highway.,9061.0
shrink,proposed,,Proposed shrink causes shrink.,1,Shrink causes shrink.,6944.0
metal,transparent,,Transparent metal sometimes burns.,0,Metal sometimes burns.,3885.0
mouse,dead,,A dead mouse eats grain.,0,A mouse eats grain.,13684.0
family,supportive,,Our supportive family visits the zoo.,2,Our family visits the zoo.,7696.0
tent,exclusive,,An exclusive tent is pitched in a campground.,2,A tent is pitched in a campground.,5193.0
stupidity,likely,,Likely stupidity is contangeous.,2,Stupidity is contangeous.,2111.0
sport,fake,,Fake sport is played by humans.,0,Sport is played by humans.,10467.0
penny,pretty,,A pretty penny is used for cheap hookers.,2,A penny is used for cheap hookers.,3367.0
housekeeper,full,,A full housekeeper cleans rooms in a house.,3,A housekeeper cleans rooms in a house.,10750.0
consumer,presumed,,A presumed consumer pays for a purchase.,2,A consumer pays for a purchase.,3823.0
purse,new,,A new purse is used for carrying money.,2,A purse is used for carrying money.,88.0
compost,good,,Good compost smells bad.,2,Compost smells bad.,8670.0
science,future,,You use a future science to learn about nearly anything.,2,You use a science to learn about nearly anything.,2097.0
hoist,portable,,A portable hoist is for moving objects.,2,A hoist is for moving objects.,4994.0
problem,potential,,A potential problem slows work.,1,A problem slows work.,15155.0
pit,sensory,,A sensory pit is for trapping and animal.,2,A pit is for trapping and animal.,10832.0
grill,decorative,,A decorative grill is for cooking over a fire.,1,A grill is for cooking over a fire.,9206.0
showroom,new,,A new showroom is for displaying fabric.,2,A showroom is for displaying fabric.,8994.0
cleaning,pathological,,Pathological cleaning is for removing food from dishes.,2,Cleaning is for removing food from dishes.,13686.0
rooster,brightly,,A brightly rooster is a pet.,0,A rooster is a pet.,761.0
supermarket,6th,,You use a 6th supermarket to buy raisins.,2,You use a supermarket to buy raisins.,8550.0
lobby,wireless,,A wireless lobby is used for entry.,1,A lobby is used for entry.,7859.0
paint,green,,Green paint is put in a bucket.,2,Paint is put in a bucket.,7711.0
shield,individual,,An individual shield protect.,2,A shield protect.,2258.0
dog,abstracted,,An abstracted dog has one mouth.,2,A dog has one mouth.,6524.0
miner,live,,A live miner mines the earth.,4,A miner mines the earth.,9960.0
van,north,,A north van has seats inside.,0,A van has seats inside.,12357.0
oath,false,,A false oath is similar to a vow.,0,An oath is similar to a vow.,5301.0
cancer,potential,,Potential cancer kills.,2,Cancer kills.,3126.0
judge,primary,,A primary judge considers the mitigating evidence.,2,A judge considers the mitigating evidence.,9265.0
opponent,strong,,A strong opponent deals a blow.,3,An opponent deals a blow.,3409.0
comedian,controversial,,A controversial comedian wants to make people laugh.,2,A comedian wants to make people laugh.,13.0
projector,incorporated,,You use an incorporated projector to show presentations.,2,You use a projector to show presentations.,6376.0
contestant,top,,A top contestant is answering a question.,2,A contestant is answering a question.,15443.0
orchestra,classic,,A classic orchestra is composed of musicians.,2,An orchestra is composed of musicians.,5574.0
marijuana,prepared,,Prepared marijuana contains thc.,2,Marijuana contains thc.,7515.0
student,potential,,A potential student is finishing her degree.,3,A student is finishing her degree.,9680.0
floor,dirty,,A dirty floor is man-made.,2,A floor is man-made.,14098.0
meteorite,carbonaceous,,A carbonaceous meteorite may hit a shark in the head.,2,A meteorite may hit a shark in the head.,15815.0
student,fabricated,,A fabricated student carries a heavy load.,0,A student carries a heavy load.,1051.0
stick,long,,A long stick is for building a stick house.,3,A stick is for building a stick house.,2083.0
mike,big,,Big mike fixes his car.,2,Mike fixes his car.,837.0
eating,clean,,Clean eating is for experiencing delicious tastes.,2,Eating is for experiencing delicious tastes.,13803.0
bob,wobbly,,Wobbly bob attempts to swim.,2,Bob attempts to swim.,4211.0
ruler,true,,A true ruler means a measuring tool.,1,A ruler means a measuring tool.,13643.0
train,virtual,,A virtual train transports mail.,1,A train transports mail.,5590.0
bucket,third,,A third bucket carries water.,2,A bucket carries water.,7762.0
pill,dummy,,A dummy pill is for a headache.,1,A pill is for a headache.,8240.0
architect,unknown,,An unknown architect positions walls and plumbing with exactness.,2,An architect positions walls and plumbing with exactness.,5881.0
handbag,synthetic,,You use a synthetic handbag to carry makeup.,2,You use a handbag to carry makeup.,15976.0
student,ministerial,,A ministerial student experiences acute embarassment.,2,A student experiences acute embarassment.,10455.0
cop,fake,,A fake cop fines a person.,0,A cop fines a person.,2477.0
bass,great,,You use a great bass to create a delicious fish dinner.,3,You use a bass to create a delicious fish dinner.,10435.0
controller,proposed,,Proposed controller controls a device.,2,Controller controls a device.,9829.0
puzzle,artificial,,An artificial puzzle fools a person.,2,A puzzle fools a person.,286.0
clip,genuinely,,A genuinely clip is for some hairstyles.,2,A clip is for some hairstyles.,257.0
toothbrush,liquid,,A liquid toothbrush is used for teeth.,0,A toothbrush is used for teeth.,5427.0
bananas,thin,,Thin bananas are curved.,2,Bananas are curved.,6971.0
resin,possible,,A possible resin is used for binding fibers together.,2,A resin is used for binding fibers together.,14793.0
traffic,cellular,,Cellular traffic slows down.,2,Traffic slows down.,5781.0
predator,mutual,,A mutual predator spots her prey.,2,A predator spots her prey.,9403.0
argument,plausible,,A plausible argument results in bad feelings.,1,An argument results in bad feelings.,10993.0
tooth,middle,,A middle tooth is for obtaining money from the tooth fairy.,2,A tooth is for obtaining money from the tooth fairy.,6527.0
pantry,separate,,A separate pantry is for storing food.,2,A pantry is for storing food.,15909.0
author,educated,,An educated author completes a book.,2,An author completes a book.,12659.0
humor,original,,Original humor lightens a person's mood.,2,Humor lightens a person's mood.,1035.0
celebrating,worth,,Something that might happen as a consequence of worth celebrating is party.,2,Something that might happen as a consequence of celebrating is party.,5440.0
friend,haughty,,A haughty friend borrows you some eggs.,2,A friend borrows you some eggs.,11304.0
route,asymmetric,,An asymmetric route is for driving to a destination.,2,A route is for driving to a destination.,15369.0
barn,huge,,You use a huge barn to store your horses.,2,You use a barn to store your horses.,8380.0
pouch,cozy,,A cozy pouch is similar to a pocket.,2,A pouch is similar to a pocket.,2205.0
mud,laden,,Laden mud cakes on your car.,2,Mud cakes on your car.,5205.0
toothpaste,ideal,,Ideal toothpaste is placed on a toothbrush.,2,Toothpaste is placed on a toothbrush.,8302.0
salmon,dead,,A dead salmon heads upstream.,0,A salmon heads upstream.,1939.0
fireplace,gorgeous,,A gorgeous fireplace is used for decorating a room.,3,A fireplace is used for decorating a room.,14521.0
mankind,historic,,Historic mankind has made incredible advances in space travel.,2,Mankind has made incredible advances in space travel.,10395.0
mill,improved,,An improved mill is for grinding grain.,2,A mill is for grinding grain.,1229.0
diversion,possible,,A possible diversion is used for attracting someone's attention.,2,A diversion is used for attracting someone's attention.,15287.0
valley,potential,,A potential valley is for separating moutains.,2,A valley is for separating moutains.,10947.0
bed,historic,,A historic bed provides comfort.,2,A bed provides comfort.,3561.0
coil,modular,,You use a modular coil to counter conception.,2,You use a coil to counter conception.,10550.0
president,responsible,,The responsible president lists cabinet members.,3,The president lists cabinet members.,15768.0
theater,mock,,A mock theater is for watching a movie in.,0,A theater is for watching a movie in.,15100.0
world,digital,,The digital world is beautiful.,2,The world is beautiful.,1459.0
sun,pendant,,The pendant sun continues shining.,2,The sun continues shining.,13658.0
body,historic,,You use a historic body to make money if it's pretty enough.,1,You use a body to make money if it's pretty enough.,11740.0
bookcase,open,,An open bookcase is used for storing books.,2,A bookcase is used for storing books.,824.0
band,spinal,,A spinal band includes a drummer.,0,A band includes a drummer.,8239.0
space,fictitious,,You use a fictitious space to do just about anything.,2,You use a space to do just about anything.,14523.0
talking,spurious,,Sometimes spurious talking causes people to be insulted.,3,Sometimes talking causes people to be insulted.,13950.0
elephant,future,,A future elephant has tusks.,2,An elephant has tusks.,4413.0
illustration,proposed,,A proposed illustration drives home a point.,1,An illustration drives home a point.,14434.0
couch,green,,A green couch may be in the living room.,2,A couch may be in the living room.,557.0
jack,smart,,Smart jack borrows money.,2,Jack borrows money.,12742.0
ear,clogged,,A clogged ear becomes infected.,3,An ear becomes infected.,8073.0
chicken,indigenous,,Indigenous chicken is stirfried in butter.,2,Chicken is stirfried in butter.,8457.0
widow,wealthy,,A wealthy widow is crying for her husband.,2,A widow is crying for her husband.,10163.0
kettle,second,,A second kettle is used for heating water.,2,A kettle is used for heating water.,1563.0
change,theoretical,,Theoretical change is constant.,2,Change is constant.,419.0
glass,slow,,You use a slow glass to drink margaritas out of.,0,You use a glass to drink margaritas out of.,6992.0
storm,potential,,A potential storm is for flooding.,1,A storm is for flooding.,14276.0
iron,fabricated,,A fabricated iron is used to press the wrinkles out of cloth.,2,An iron is used to press the wrinkles out of cloth.,7313.0
lawyer,former,,A former lawyer proves to judge.,2,A lawyer proves to judge.,10598.0
knife,cold,,A cold knife is cutting food.,2,A knife is cutting food.,8126.0
satchel,complete,,A complete satchel is for protecting things from the weather.,2,A satchel is for protecting things from the weather.,4573.0
lawn,new,,A new lawn is for playing bowls on.,2,A lawn is for playing bowls on.,12877.0
string,likely,,You use a likely string to tie a knot.,2,You use a string to tie a knot.,12495.0
weather,universal,,Universal weather causes ice to form.,2,Weather causes ice to form.,7877.0
chapel,former,,A former chapel is used for religious services.,1,A chapel is used for religious services.,13388.0
geologist,registered,,A registered geologist may use formation dip information.,2,A geologist may use formation dip information.,6714.0
lecher,elderly,,An elderly lecher eyes a pretty girl.,2,A lecher eyes a pretty girl.,563.0
cafe,unusable,,An unusable cafe is for meeting with someone.,0,A cafe is for meeting with someone.,12148.0
science,fictional,,A fictional science is for astronomy.,1,A science is for astronomy.,2220.0
line,upper-level,,You use an upper-level line to indicate a change.,1,You use a line to indicate a change.,6604.0
actress,engaging,,An engaging actress stars in a movie.,2,An actress stars in a movie.,12403.0
sword,fiery,,A fiery sword is for intimidating.,2,A sword is for intimidating.,359.0
corn,free,,Free corn is for creamed corn.,2,Corn is for creamed corn.,3002.0
time,positive,,Positive time is used for doing enjoyable things.,3,Time is used for doing enjoyable things.,3717.0
uncle,villainous,,You use a villainous uncle to get money from.,1,You use an uncle to get money from.,10031.0
cafe,excellent,,You use an excellent cafe to chat.,2,You use a cafe to chat.,4013.0
binder,permanent,,A permanent binder is used to store information.,2,A binder is used to store information.,1597.0
waiter,old,,Old waiter serves food.,2,Waiter serves food.,13185.0
litigant,former,,A former litigant is angry.,2,A litigant is angry.,13767.0
pacifier,old,,An old pacifier quiets a baby.,2,A pacifier quiets a baby.,11096.0
comb,new,,A new comb is used to remove tangles for your hair.,2,A comb is used to remove tangles for your hair.,5727.0
independence,legislative,,Your legislative independence is precious.,2,Your independence is precious.,10834.0
friend,fake,,Fake friend borrows money from roommates.,2,Friend borrows money from roommates.,221.0
farmer,outdoor,,An outdoor farmer farms farms.,3,A farmer farms farms.,15509.0
purse,privy,,A privy purse is for holding cash.,2,A purse is for holding cash.,3121.0
congress,37th,,37th congress forces change.,2,Congress forces change.,8260.0
doorway,narrow,,You use a narrow doorway to enter somewhere.,2,You use a doorway to enter somewhere.,7615.0
shop,favorite,,You use a favorite shop to buy things.,3,You use a shop to buy things.,14223.0
passage,northern,,A northern passage is for quick exits and entrances.,2,A passage is for quick exits and entrances.,15514.0
comedian,award-winning,,An award-winning comedian wants to entertain people.,2,A comedian wants to entertain people.,7342.0
altar,personal,,You use a personal altar to get married at.,1,You use an altar to get married at.,3531.0
patriotism,much,,Much patriotism is both creative and destructive.,1,Patriotism is both creative and destructive.,10057.0
food,inexpensive,,Inexpensive food is cooked on a grill.,2,Food is cooked on a grill.,9659.0
cable,modular,,Modular cable connect.,2,Cable connect.,6945.0
scar,homing,,A homing scar appears to fade over time.,0,A scar appears to fade over time.,315.0
